"rsq","mu","sampling"
0.985681743078326,52.274281250293505,"Beta-Binomial rho = 0.1"
0.9981881242323025,92.64217221936923,"Binomial"
0.9954311314219273,88.32705358294675,"Beta-Binomial rho = 0.01"
0.9900994485816295,58.26057143816595,"Beta-Binomial rho = 0.05"
0.9932336028634753,48.00566690055394,"Beta-Binomial rho = 0.1"
0.9967199005370676,135.7684919340917,"Binomial"
0.9964353781524146,125.89319876789757,"Beta-Binomial rho = 0.01"
0.9893419554571989,102.25065848148412,"Beta-Binomial rho = 0.05"
0.9865942096453603,77.97454998282818,"Beta-Binomial rho = 0.1"
0.9995701816495102,103.43209931893591,"Binomial"
0.9969107840972692,109.21198870113265,"Beta-Binomial rho = 0.01"
0.9943535042866745,85.3237778371948,"Beta-Binomial rho = 0.05"
0.993751699921502,69.3040577654177,"Beta-Binomial rho = 0.1"
0.9977958677071079,157.65483786487346,"Binomial"
0.9982923622353089,151.05382012076421,"Beta-Binomial rho = 0.01"
0.9866938807017669,117.54216323795735,"Beta-Binomial rho = 0.05"
0.9912300717188293,86.35150647021919,"Beta-Binomial rho = 0.1"
0.9961859058845863,83.61208320043716,"Binomial"
0.9988401502976435,89.0285829051679,"Beta-Binomial rho = 0.01"
0.9949529113315727,68.07660752721955,"Beta-Binomial rho = 0.05"
0.9952571746530448,58.312489607959705,"Beta-Binomial rho = 0.1"
0.9991397304756232,61.011659761139846,"Binomial"
0.9967235153477936,59.69942556354257,"Beta-Binomial rho = 0.01"
0.9982013545172768,50.097758649155146,"Beta-Binomial rho = 0.05"
0.9956920729332074,38.15657142558656,"Beta-Binomial rho = 0.1"
0.9936380966725339,144.2016018022245,"Binomial"
0.999235828690605,143.98288516274928,"Beta-Binomial rho = 0.01"
0.9969058864037897,111.447047268133,"Beta-Binomial rho = 0.05"
0.9960744959076624,86.81006385521657,"Beta-Binomial rho = 0.1"
0.978186533287587,61.56142553988234,"Binomial"
0.9837560231458036,54.195328362416234,"Beta-Binomial rho = 0.01"
0.9823547307555601,45.72201270579095,"Beta-Binomial rho = 0.05"
0.9668667108511991,41.21104115800424,"Beta-Binomial rho = 0.1"
0.998786925135017,124.47188268882172,"Binomial"
0.9942460089860448,127.37142061647869,"Beta-Binomial rho = 0.01"
0.9952895995531073,88.6115586880242,"Beta-Binomial rho = 0.05"
0.9975475648856493,69.40499877784035,"Beta-Binomial rho = 0.1"
0.998291498738583,123.0544245999089,"Binomial"
0.9926193489718028,122.55957884473172,"Beta-Binomial rho = 0.01"
0.9971067053804263,83.74592229992503,"Beta-Binomial rho = 0.05"
0.9946165053495811,72.50990354194772,"Beta-Binomial rho = 0.1"
0.9781691959691127,156.69601372768224,"Binomial"
0.981203141388729,145.39587489051823,"Beta-Binomial rho = 0.01"
0.9927307833617388,98.18668050442689,"Beta-Binomial rho = 0.05"
0.9870954565623479,75.24859790849419,"Beta-Binomial rho = 0.1"
0.9748211617837994,128.64626110361985,"Binomial"
0.9783047583651252,133.58773298287582,"Beta-Binomial rho = 0.01"
0.9872522780327361,101.1851251830879,"Beta-Binomial rho = 0.05"
0.9840843090554232,73.1409209830808,"Beta-Binomial rho = 0.1"
0.9937397906209112,89.51325139804891,"Binomial"
0.9966520524599792,87.27381253427806,"Beta-Binomial rho = 0.01"
0.9957845160269957,66.17202770187531,"Beta-Binomial rho = 0.05"
0.9909241043362226,57.85213362684264,"Beta-Binomial rho = 0.1"
0.9974181988346256,121.48707371549008,"Binomial"
0.9990123224953484,114.86388851800302,"Beta-Binomial rho = 0.01"
0.9954332879437374,86.91083722663397,"Beta-Binomial rho = 0.05"
0.9968305913133969,64.30080394398283,"Beta-Binomial rho = 0.1"
0.9970760518575287,45.656695513386694,"Binomial"
0.9979367768710943,45.39324732928912,"Beta-Binomial rho = 0.01"
0.995016614359241,44.519485400125745,"Beta-Binomial rho = 0.05"
0.9901919160817335,34.865567853415754,"Beta-Binomial rho = 0.1"
0.9980557216043143,94.45620317154791,"Binomial"
0.9980393286132575,90.25009307928977,"Beta-Binomial rho = 0.01"
0.9906415560400512,64.75760067644889,"Beta-Binomial rho = 0.05"
0.9747588810621739,47.980386413698156,"Beta-Binomial rho = 0.1"
0.9981571951807211,132.0962086942461,"Binomial"
0.9966239095263831,124.58436345917194,"Beta-Binomial rho = 0.01"
0.993978909747983,88.95135771841029,"Beta-Binomial rho = 0.05"
0.990381984299389,67.7835128963076,"Beta-Binomial rho = 0.1"
0.997050938744309,81.32860193339808,"Binomial"
0.998578445949898,69.09994020235825,"Beta-Binomial rho = 0.01"
0.9791067407178395,69.68450773461738,"Beta-Binomial rho = 0.05"
0.985178571729043,53.29940734200361,"Beta-Binomial rho = 0.1"
0.9855135194168241,86.346618122073,"Binomial"
0.9988236294924886,84.14447694785397,"Beta-Binomial rho = 0.01"
0.9967625003595727,82.93285573144092,"Beta-Binomial rho = 0.05"
0.9913556914887928,65.85419463456444,"Beta-Binomial rho = 0.1"
0.9990892568274763,135.97616520935154,"Binomial"
0.9920047825589261,143.7790778992097,"Beta-Binomial rho = 0.01"
0.9880786483352783,98.00605420957149,"Beta-Binomial rho = 0.05"
0.9921480664322255,74.47356301680561,"Beta-Binomial rho = 0.1"
0.997792453879124,89.89355908535286,"Binomial"
0.998742227205142,79.88700926202927,"Beta-Binomial rho = 0.01"
0.9939657661906597,63.75651957645942,"Beta-Binomial rho = 0.05"
0.9919428175145658,50.876819816796115,"Beta-Binomial rho = 0.1"
0.9949618886189998,129.87880091991758,"Binomial"
0.9971991808297154,115.86153890974566,"Beta-Binomial rho = 0.01"
0.9871552046293256,89.98735050673046,"Beta-Binomial rho = 0.05"
0.9930386008522508,66.21761565025128,"Beta-Binomial rho = 0.1"
0.9854660418033013,101.22815601900102,"Binomial"
0.9870167363315558,91.56889018641718,"Beta-Binomial rho = 0.01"
0.9841693302394106,75.31034338481356,"Beta-Binomial rho = 0.05"
0.9908736715893356,58.234892184697365,"Beta-Binomial rho = 0.1"
0.9935232895567838,93.93466603749512,"Binomial"
0.9958930601768454,95.23309263608407,"Beta-Binomial rho = 0.01"
0.9995345889208118,76.83114010279826,"Beta-Binomial rho = 0.05"
0.9922959485485084,62.33305614431442,"Beta-Binomial rho = 0.1"
0.9840831404809193,114.95760928638505,"Binomial"
0.9987351958242954,112.67828187499687,"Beta-Binomial rho = 0.01"
0.9942826715100143,87.63183141969598,"Beta-Binomial rho = 0.05"
0.9911426534975385,72.7756201270364,"Beta-Binomial rho = 0.1"
0.9920530024009465,103.77453011522985,"Binomial"
